Date,Close,Adj Close,Volume,Open,High,Low
20/05/2022,14.7,12.97,132500,14.4,14.95,14.3
19/05/2022,14.2,12.53,131700,14,14.55,14
18/05/2022,14.6,12.88,126400,14.9,15.15,14.4
17/05/2022,14.65,12.93,121400,13.5,14.65,13.3
16/05/2022,13.7,12.09,146400,13.35,14.2,13.2
13/05/2022,13.5,11.91,287400,14.15,14.5,13.2
12/05/2022,14.15,12.48,195600,15.1,15.15,14.15
11/05/2022,15.2,13.41,122200,15.25,15.4,15
10/05/2022,15.2,13.41,218700,14.4,15.35,14.4
09/05/2022,14.9,13.15,368800,15.65,15.9,14.9
06/05/2022,16,14.12,139700,16.25,16.55,16
05/05/2022,16.8,14.82,165400,16.7,17,16.25
04/05/2022,16.9,14.91,288200,17.9,17.9,16.65
29/04/2022,17.2,15.18,251300,16.5,17.2,16.1
28/04/2022,16.5,14.56,248800,16.6,16.9,16.1
27/04/2022,15.85,13.98,194700,15.65,15.9,15.2
26/04/2022,15.5,13.68,608100,15.1,15.5,14.55
25/04/2022,15.6,13.76,498600,16.75,17.05,15.6
22/04/2022,16.75,14.78,381100,18,18,16.45
21/04/2022,17.6,15.53,569300,18.05,18.8,17.3
20/04/2022,18.6,16.41,569100,19.2,19.95,18.6
19/04/2022,20,17.65,404800,20.45,20.7,18.9
18/04/2022,20.3,17.91,620700,19.9,20.6,19.7
15/04/2022,20.1,17.73,550100,19,20.9,19
14/04/2022,19.6,17.29,711100,18.2,19.8,18.2
13/04/2022,19.5,17.2,1553300,19.3,19.9,19
12/04/2022,20.4,18,575200,21.7,21.7,20.4
08/04/2022,21.9,19.32,947800,21.3,22.4,20.8
07/04/2022,21.7,19.15,808300,22.2,23.35,21.7
06/04/2022,21.85,19.28,1709300,20.45,21.85,20.45
05/04/2022,20.45,18.04,630000,20.15,20.5,20.1
04/04/2022,20.15,17.78,225500,20.2,20.95,20
01/04/2022,20.1,17.73,661000,19.6,21,19.25
31/03/2022,20.65,18.22,643500,19.9,21.2,19.9
30/03/2022,20.2,17.82,566100,19.2,20.2,19.2
29/03/2022,20.2,17.82,541700,19.2,20.2,18.95
28/03/2022,19.15,16.9,1114800,18.3,19.5,18.3
25/03/2022,18.25,16.1,988200,17.35,18.3,17.35
24/03/2022,17.3,15.26,200700,16.8,17.4,16.5
23/03/2022,16.8,14.82,64700,16.85,16.9,16.7
22/03/2022,16.85,14.87,142100,16.75,17,16.75
21/03/2022,17,15,78600,16.95,17.1,16.7
18/03/2022,17,15,59200,17.15,17.15,16.9
17/03/2022,17.15,15.13,176800,17,17.5,17
16/03/2022,17,15,55500,16.95,17.2,16.8
15/03/2022,17,15,266500,16.15,17.1,16.15
14/03/2022,16.3,14.38,112600,16.55,16.75,15.7
11/03/2022,16.8,14.82,107800,16.8,17.3,16.6
10/03/2022,17,15,118200,17,17.55,16.75
09/03/2022,16.85,14.87,74400,16.6,17.15,16.6
08/03/2022,16.95,14.95,154100,17.35,17.35,16.9
07/03/2022,17.4,15.35,280400,17,17.4,16.85
04/03/2022,17.2,15.18,112000,17.1,17.35,17
03/03/2022,17.3,15.26,278400,16.7,17.55,16.5
02/03/2022,16.75,14.78,159700,16.7,17.15,16.7
01/03/2022,17.15,15.13,235700,17,17.4,16.7
28/02/2022,17.05,15.04,161000,17.25,17.25,16.85
25/02/2022,17.25,15.22,699200,16.25,17.25,16
24/02/2022,16.15,14.25,196400,16.4,16.4,15.5
23/02/2022,16.45,14.51,85600,16.5,16.6,16.35
22/02/2022,16.4,14.47,170400,16,16.5,15.8
21/02/2022,16.2,14.29,180300,15.8,16.7,15.5
18/02/2022,15.65,13.81,52100,15.8,15.8,15.5
17/02/2022,15.7,13.85,19900,15.95,15.95,15.55
16/02/2022,15.85,13.98,76200,15.8,15.85,15.5
15/02/2022,15.6,13.76,35900,15.7,15.7,15.6
14/02/2022,15.7,13.85,64800,15.7,15.85,15.55
11/02/2022,15.8,13.94,45700,15.75,15.9,15.7
10/02/2022,15.85,13.98,59200,15.75,15.95,15.7
09/02/2022,15.85,13.98,33500,15.85,15.85,15.65
08/02/2022,15.85,13.98,20500,15.7,15.95,15.5
07/02/2022,15.85,13.98,26100,16.1,16.1,15.45
28/01/2022,15.45,13.63,56600,14.95,15.6,14.95
27/01/2022,14.95,13.19,53800,14.95,15.4,14.6
26/01/2022,14.7,12.97,39000,15.2,15.2,14.6
25/01/2022,15.2,13.41,51200,15.3,15.8,14.85
24/01/2022,15.3,13.5,44600,15.8,15.8,15
21/01/2022,16,14.12,73700,16,16.1,15.45
20/01/2022,16.05,14.16,122300,15.7,16.15,15.6
19/01/2022,16.2,14.29,68100,17.3,17.3,15.95
18/01/2022,17.65,14.42,188000,17.2,17.65,17
17/01/2022,17.3,14.13,114300,17.5,18,17.1
14/01/2022,18,14.7,175100,18.2,18.2,17.3
13/01/2022,18.3,14.95,162100,17.65,18.3,17.4
12/01/2022,17.65,14.42,91700,18.1,18.1,16.8
11/01/2022,17.55,14.34,121800,17.65,17.7,17.35
10/01/2022,17.7,14.46,102100,18,18,17.5
07/01/2022,17.85,14.58,94400,18,18,17.7
06/01/2022,17.8,14.54,85100,18.15,18.15,17.75
05/01/2022,17.75,14.5,134000,17.65,17.85,17.65
04/01/2022,17.65,14.42,72300,17.4,17.8,17.4
31/12/2021,17.8,14.54,88300,17.5,17.85,17.3
30/12/2021,17.8,14.54,127100,17.65,18,17
29/12/2021,17.65,14.42,101400,17.2,17.9,17.1
28/12/2021,17.3,14.13,96000,16.9,17.55,16.85
27/12/2021,16.95,13.85,365400,17.15,17.15,16.4
24/12/2021,17.05,13.93,328500,17.8,17.8,16.9
23/12/2021,17.65,14.42,291200,18.5,18.5,17.25
22/12/2021,18.5,15.11,135200,19,19.15,18.2
21/12/2021,18.8,15.36,453000,17.6,18.8,17.5
20/12/2021,17.6,14.38,45100,17.75,17.8,17.5
17/12/2021,17.75,14.5,88300,17.7,17.8,17.3
16/12/2021,17.7,14.46,25600,18,18,17.55
15/12/2021,17.65,14.42,106800,17.6,18,17.5
14/12/2021,17.4,14.21,53300,17.9,17.9,17.3
13/12/2021,17.5,14.3,48000,17.5,17.8,17.45
10/12/2021,17.3,14.13,48100,17.3,17.5,17.25
09/12/2021,17.25,14.09,33900,17.2,17.5,17.2
08/12/2021,17.35,14.17,45700,17.8,17.8,17
07/12/2021,17.3,14.13,47200,17.35,17.35,16.9
06/12/2021,17.1,13.97,98400,17.95,18,17.1
03/12/2021,18,14.7,80300,18.4,18.4,17.9
02/12/2021,18.3,14.95,42500,18.4,18.4,18.2
